w	LBB_exp	LBB_pred
0	0.000e+00	2.192e-193
1	0.000e+00	2.803e-190
2	0.000e+00	1.791e-187
3	0.000e+00	7.625e-185
4	0.000e+00	2.290e-182
5	0.000e+00	5.099e-180
6	0.000e+00	8.829e-178
7	0.000e+00	1.236e-175
8	0.000e+00	1.444e-173
9	0.000e+00	1.441e-171
10	0.000e+00	1.252e-169
11	0.000e+00	9.613e-168
12	0.000e+00	6.609e-166
13	0.000e+00	4.108e-164
14	0.000e+00	2.329e-162
15	0.000e+00	1.213e-160
16	0.000e+00	5.837e-159
17	0.000e+00	2.611e-157
18	0.000e+00	1.090e-155
19	0.000e+00	4.267e-154
20	0.000e+00	1.572e-152
21	0.000e+00	5.464e-151
22	0.000e+00	1.798e-149
23	0.000e+00	5.619e-148
24	0.000e+00	1.671e-146
25	0.000e+00	4.736e-145
26	0.000e+00	1.283e-143
27	0.000e+00	3.326e-142
28	0.000e+00	8.268e-141
29	0.000e+00	1.974e-139
30	0.000e+00	4.532e-138
31	0.000e+00	1.002e-136
32	0.000e+00	2.136e-135
33	0.000e+00	4.395e-134
34	0.000e+00	8.740e-133
35	0.000e+00	1.681e-131
36	0.000e+00	3.132e-130
37	0.000e+00	5.653e-129
38	0.000e+00	9.898e-128
39	0.000e+00	1.682e-126
40	0.000e+00	2.778e-125
41	0.000e+00	4.459e-124
42	0.000e+00	6.964e-123
43	0.000e+00	1.059e-121
44	0.000e+00	1.568e-120
45	0.000e+00	2.262e-119
46	0.000e+00	3.184e-118
47	0.000e+00	4.373e-117
48	0.000e+00	5.862e-116
49	0.000e+00	7.675e-115
50	0.000e+00	9.819e-114
51	0.000e+00	1.228e-112
52	0.000e+00	1.502e-111
53	0.000e+00	1.797e-110
54	0.000e+00	2.105e-109
55	0.000e+00	2.414e-108
56	0.000e+00	2.712e-107
57	0.000e+00	2.985e-106
58	0.000e+00	3.220e-105
59	0.000e+00	3.407e-104
60	0.000e+00	3.534e-103
61	0.000e+00	3.598e-102
62	0.000e+00	3.594e-101
63	0.000e+00	3.524e-100
64	0.000e+00	3.393e-99
65	0.000e+00	3.209e-98
66	0.000e+00	2.982e-97
67	0.000e+00	2.723e-96
68	0.000e+00	2.444e-95
69	0.000e+00	2.156e-94
70	0.000e+00	1.871e-93
71	0.000e+00	1.597e-92
72	0.000e+00	1.341e-91
73	0.000e+00	1.108e-90
74	0.000e+00	9.006e-90
75	0.000e+00	7.209e-89
76	0.000e+00	5.681e-88
77	0.000e+00	4.409e-87
78	0.000e+00	3.370e-86
79	0.000e+00	2.538e-85
80	0.000e+00	1.883e-84
81	0.000e+00	1.376e-83
82	0.000e+00	9.918e-83
83	0.000e+00	7.044e-82
84	0.000e+00	4.933e-81
85	0.000e+00	3.406e-80
86	0.000e+00	2.319e-79
87	0.000e+00	1.558e-78
88	0.000e+00	1.032e-77
89	0.000e+00	6.746e-77
90	0.000e+00	4.351e-76
91	0.000e+00	2.770e-75
92	0.000e+00	1.740e-74
93	0.000e+00	1.079e-73
94	0.000e+00	6.605e-73
95	0.000e+00	3.992e-72
96	0.000e+00	2.383e-71
97	0.000e+00	1.404e-70
98	0.000e+00	8.174e-70
99	0.000e+00	4.700e-69
100	0.000e+00	2.670e-68
101	0.000e+00	1.498e-67
102	0.000e+00	8.308e-67
103	0.000e+00	4.552e-66
104	0.000e+00	2.465e-65
105	0.000e+00	1.319e-64
106	0.000e+00	6.979e-64
107	0.000e+00	3.650e-63
108	0.000e+00	1.887e-62
109	0.000e+00	9.645e-62
110	0.000e+00	4.875e-61
111	0.000e+00	2.436e-60
112	0.000e+00	1.204e-59
113	0.000e+00	5.887e-59
114	0.000e+00	2.847e-58
115	0.000e+00	1.362e-57
116	0.000e+00	6.443e-57
117	0.000e+00	3.016e-56
118	0.000e+00	1.397e-55
119	0.000e+00	6.403e-55
120	0.000e+00	2.904e-54
121	0.000e+00	1.303e-53
