w	LB_exp	LB_pred
0	0.000e+00	2.192e-193
1	0.000e+00	2.806e-190
2	0.000e+00	1.794e-187
3	0.000e+00	7.643e-185
4	0.000e+00	2.288e-182
5	0.000e+00	5.062e-180
6	0.000e+00	8.689e-178
7	0.000e+00	1.204e-175
8	0.000e+00	1.391e-173
9	0.000e+00	1.371e-171
10	0.000e+00	1.177e-169
11	0.000e+00	8.923e-168
12	0.000e+00	6.056e-166
13	0.000e+00	3.716e-164
14	0.000e+00	2.079e-162
15	0.000e+00	1.068e-160
16	0.000e+00	5.073e-159
17	0.000e+00	2.239e-157
18	0.000e+00	9.223e-156
19	0.000e+00	3.562e-154
20	0.000e+00	1.294e-152
21	0.000e+00	4.439e-151
22	0.000e+00	1.441e-149
23	0.000e+00	4.443e-148
24	0.000e+00	1.303e-146
25	0.000e+00	3.644e-145
26	0.000e+00	9.736e-144
27	0.000e+00	2.490e-142
28	0.000e+00	6.106e-141
29	0.000e+00	1.438e-139
30	0.000e+00	3.257e-138
31	0.000e+00	7.103e-137
32	0.000e+00	1.494e-135
33	0.000e+00	3.032e-134
34	0.000e+00	5.948e-133
35	0.000e+00	1.129e-131
36	0.000e+00	2.074e-130
37	0.000e+00	3.693e-129
38	0.000e+00	6.378e-128
39	0.000e+00	1.069e-126
40	0.000e+00	1.742e-125
41	0.000e+00	2.758e-124
42	0.000e+00	4.250e-123
43	0.000e+00	6.373e-122
44	0.000e+00	9.310e-121
45	0.000e+00	1.326e-119
46	0.000e+00	1.840e-118
47	0.000e+00	2.493e-117
48	0.000e+00	3.297e-116
49	0.000e+00	4.259e-115
50	0.000e+00	5.375e-114
51	0.000e+00	6.632e-113
52	0.000e+00	8.002e-112
53	0.000e+00	9.448e-111
54	0.000e+00	1.092e-109
55	0.000e+00	1.235e-108
56	0.000e+00	1.369e-107
57	0.000e+00	1.487e-106
58	0.000e+00	1.582e-105
59	0.000e+00	1.651e-104
60	0.000e+00	1.690e-103
61	0.000e+00	1.698e-102
62	0.000e+00	1.673e-101
63	0.000e+00	1.619e-100
64	0.000e+00	1.538e-99
