w	SternBabai_exp	SternBabai_pred
0	0.000e+00	2.192e-193
1	0.000e+00	2.759e-190
2	0.000e+00	1.736e-187
3	0.000e+00	7.273e-185
4	0.000e+00	2.265e-182
5	0.000e+00	5.548e-180
6	0.000e+00	1.105e-177
7	0.000e+00	1.834e-175
8	0.000e+00	2.576e-173
9	0.000e+00	3.109e-171
10	0.000e+00	3.263e-169
11	0.000e+00	3.012e-167
12	0.000e+00	2.470e-165
13	0.000e+00	1.816e-163
14	0.000e+00	1.207e-161
15	0.000e+00	7.304e-160
16	0.000e+00	4.050e-158
17	0.000e+00	2.070e-156
18	0.000e+00	9.804e-155
19	0.000e+00	4.321e-153
20	0.000e+00	1.780e-151
21	0.000e+00	6.877e-150
22	0.000e+00	2.501e-148
23	0.000e+00	8.587e-147
24	0.000e+00	2.791e-145
25	0.000e+00	8.609e-144
26	0.000e+00	2.526e-142
27	0.000e+00	7.066e-141
28	0.000e+00	1.888e-139
29	0.000e+00	4.825e-138
30	0.000e+00	1.182e-136
31	0.000e+00	2.780e-135
32	0.000e+00	6.284e-134
33	0.000e+00	1.367e-132
34	0.000e+00	2.867e-131
35	0.000e+00	5.800e-130
36	0.000e+00	1.134e-128
37	0.000e+00	2.142e-127
38	0.000e+00	3.917e-126
39	0.000e+00	6.939e-125
40	0.000e+00	1.192e-123
41	0.000e+00	1.987e-122
42	0.000e+00	3.215e-121
43	0.000e+00	5.057e-120
44	0.000e+00	7.734e-119
45	0.000e+00	1.151e-117
46	0.000e+00	1.668e-116
47	0.000e+00	2.355e-115
48	0.000e+00	3.242e-114
49	0.000e+00	4.352e-113
50	0.000e+00	5.702e-112
51	0.000e+00	7.294e-111
52	0.000e+00	9.114e-110
53	0.000e+00	1.113e-108
54	0.000e+00	1.329e-107
55	0.000e+00	1.551e-106
56	0.000e+00	1.772e-105
57	0.000e+00	1.982e-104
58	0.000e+00	2.171e-103
59	0.000e+00	2.329e-102
60	0.000e+00	2.448e-101
61	0.000e+00	2.523e-100
62	0.000e+00	2.549e-99
63	0.000e+00	2.527e-98
64	0.000e+00	2.457e-97
65	0.000e+00	2.345e-96
66	0.000e+00	2.197e-95
67	0.000e+00	2.021e-94
68	0.000e+00	1.826e-93
69	0.000e+00	1.622e-92
70	0.000e+00	1.415e-91
71	0.000e+00	1.213e-90
72	0.000e+00	1.023e-89
73	0.000e+00	8.482e-89
74	0.000e+00	6.917e-88
75	0.000e+00	5.550e-87
76	0.000e+00	4.382e-86
77	0.000e+00	3.405e-85
78	0.000e+00	2.604e-84
79	0.000e+00	1.961e-83
80	0.000e+00	1.455e-82
81	0.000e+00	1.062e-81
82	0.000e+00	7.645e-81
83	0.000e+00	5.420e-80
84	0.000e+00	3.787e-79
85	0.000e+00	2.607e-78
86	0.000e+00	1.770e-77
87	0.000e+00	1.184e-76
