w	Stern_exp	Stern_pred
0	0.000e+00	2.192e-193
1	0.000e+00	2.757e-190
2	0.000e+00	1.733e-187
3	0.000e+00	7.255e-185
4	0.000e+00	2.258e-182
5	0.000e+00	5.521e-180
6	0.000e+00	1.098e-177
7	0.000e+00	1.816e-175
8	0.000e+00	2.543e-173
9	0.000e+00	3.057e-171
10	0.000e+00	3.193e-169
11	0.000e+00	2.932e-167
12	0.000e+00	2.391e-165
13	0.000e+00	1.747e-163
14	0.000e+00	1.154e-161
15	0.000e+00	6.936e-160
16	0.000e+00	3.820e-158
17	0.000e+00	1.939e-156
18	0.000e+00	9.115e-155
19	0.000e+00	3.988e-153
20	0.000e+00	1.630e-151
21	0.000e+00	6.253e-150
22	0.000e+00	2.257e-148
23	0.000e+00	7.688e-147
24	0.000e+00	2.479e-145
25	0.000e+00	7.588e-144
26	0.000e+00	2.209e-142
27	0.000e+00	6.130e-141
28	0.000e+00	1.625e-139
29	0.000e+00	4.120e-138
30	0.000e+00	1.001e-136
31	0.000e+00	2.335e-135
32	0.000e+00	5.236e-134
33	0.000e+00	1.130e-132
34	0.000e+00	2.350e-131
35	0.000e+00	4.715e-130
36	0.000e+00	9.139e-129
37	0.000e+00	1.713e-127
38	0.000e+00	3.106e-126
39	0.000e+00	5.457e-125
40	0.000e+00	9.295e-124
41	0.000e+00	1.536e-122
42	0.000e+00	2.466e-121
43	0.000e+00	3.845e-120
44	0.000e+00	5.832e-119
45	0.000e+00	8.607e-118
46	0.000e+00	1.237e-116
47	0.000e+00	1.731e-115
48	0.000e+00	2.363e-114
49	0.000e+00	3.145e-113
50	0.000e+00	4.085e-112
51	0.000e+00	5.181e-111
52	0.000e+00	6.418e-110
53	0.000e+00	7.770e-109
54	0.000e+00	9.196e-108
55	0.000e+00	1.065e-106
56	0.000e+00	1.206e-105
57	0.000e+00	1.337e-104
58	0.000e+00	1.451e-103
59	0.000e+00	1.544e-102
60	0.000e+00	1.608e-101
61	0.000e+00	1.643e-100
62	0.000e+00	1.646e-99
63	0.000e+00	1.617e-98
64	0.000e+00	1.558e-97
65	0.000e+00	1.474e-96
66	0.000e+00	1.369e-95
67	0.000e+00	1.248e-94
68	0.000e+00	1.118e-93
69	0.000e+00	9.838e-93
70	0.000e+00	8.507e-92
71	0.000e+00	7.230e-91
72	0.000e+00	6.042e-90
73	0.000e+00	4.965e-89
74	0.000e+00	4.013e-88
75	0.000e+00	3.191e-87
76	0.000e+00	2.496e-86
77	0.000e+00	1.922e-85
78	0.000e+00	1.457e-84
79	0.000e+00	1.087e-83
80	0.000e+00	7.992e-83
81	0.000e+00	5.785e-82
82	0.000e+00	4.125e-81
83	0.000e+00	2.898e-80
84	0.000e+00	2.006e-79
85	0.000e+00	1.369e-78
86	0.000e+00	9.204e-78
87	0.000e+00	6.102e-77
88	0.000e+00	3.989e-76
89	0.000e+00	2.572e-75
90	0.000e+00	1.635e-74
91	0.000e+00	1.026e-73
92	0.000e+00	6.347e-73
93	0.000e+00	3.875e-72
94	0.000e+00	2.335e-71
95	0.000e+00	1.388e-70
96	0.000e+00	8.148e-70
97	0.000e+00	4.721e-69
98	0.000e+00	2.701e-68
99	0.000e+00	1.525e-67
100	0.000e+00	8.508e-67
101	0.000e+00	4.687e-66
102	0.000e+00	2.550e-65
