w	WagnerBabai_exp	WagnerBabai_pred
0	0.000e+00	2.192e-193
1	0.000e+00	2.716e-190
2	0.000e+00	1.681e-187
3	0.000e+00	6.931e-185
4	0.000e+00	2.140e-182
5	0.000e+00	5.265e-180
6	0.000e+00	1.074e-177
7	0.000e+00	1.865e-175
8	0.000e+00	2.809e-173
9	0.000e+00	3.722e-171
10	0.000e+00	4.385e-169
11	0.000e+00	4.636e-167
12	0.000e+00	4.429e-165
13	0.000e+00	3.846e-163
14	0.000e+00	3.052e-161
15	0.000e+00	2.223e-159
16	0.000e+00	1.493e-157
17	0.000e+00	9.269e-156
18	0.000e+00	5.343e-154
19	0.000e+00	2.868e-152
20	0.000e+00	1.437e-150
21	0.000e+00	6.745e-149
22	0.000e+00	2.972e-147
23	0.000e+00	1.233e-145
24	0.000e+00	4.824e-144
25	0.000e+00	1.785e-142
26	0.000e+00	6.257e-141
27	0.000e+00	2.082e-139
28	0.000e+00	6.591e-138
29	0.000e+00	1.988e-136
30	0.000e+00	5.722e-135
31	0.000e+00	1.575e-133
32	0.000e+00	4.148e-132
33	0.000e+00	1.048e-130
34	0.000e+00	2.540e-129
35	0.000e+00	5.920e-128
36	0.000e+00	1.328e-126
37	0.000e+00	2.869e-125
38	0.000e+00	5.979e-124
39	0.000e+00	1.203e-122
40	0.000e+00	2.339e-121
41	0.000e+00	4.399e-120
42	0.000e+00	8.009e-119
43	0.000e+00	1.413e-117
44	0.000e+00	2.417e-116
45	0.000e+00	4.012e-115
46	0.000e+00	6.468e-114
47	0.000e+00	1.013e-112
48	0.000e+00	1.544e-111
49	0.000e+00	2.288e-110
50	0.000e+00	3.302e-109
51	0.000e+00	4.641e-108
52	0.000e+00	6.359e-107
53	0.000e+00	8.497e-106
54	0.000e+00	1.108e-104
55	0.000e+00	1.410e-103
56	0.000e+00	1.752e-102
57	0.000e+00	2.127e-101
58	0.000e+00	2.524e-100
59	0.000e+00	2.930e-99
60	0.000e+00	3.326e-98
61	0.000e+00	3.695e-97
62	0.000e+00	4.019e-96
63	0.000e+00	4.281e-95
64	0.000e+00	4.467e-94
65	0.000e+00	4.567e-93
66	0.000e+00	4.578e-92
67	0.000e+00	4.500e-91
68	0.000e+00	4.339e-90
69	0.000e+00	4.105e-89
70	0.000e+00	3.811e-88
71	0.000e+00	3.474e-87
72	0.000e+00	3.109e-86
73	0.000e+00	2.733e-85
74	0.000e+00	2.360e-84
75	0.000e+00	2.003e-83
76	0.000e+00	1.671e-82
77	0.000e+00	1.370e-81
78	0.000e+00	1.105e-80
79	0.000e+00	8.767e-80
80	0.000e+00	6.841e-79
81	0.000e+00	5.252e-78
82	0.000e+00	3.969e-77
