w	Wagner_exp	Wagner_pred
0	0.000e+00	2.192e-193
1	0.000e+00	2.722e-190
2	0.000e+00	1.689e-187
3	0.000e+00	6.982e-185
4	0.000e+00	2.160e-182
5	0.000e+00	5.329e-180
6	0.000e+00	1.090e-177
7	0.000e+00	1.896e-175
8	0.000e+00	2.862e-173
9	0.000e+00	3.800e-171
10	0.000e+00	4.485e-169
11	0.000e+00	4.750e-167
12	0.000e+00	4.545e-165
13	0.000e+00	3.952e-163
14	0.000e+00	3.140e-161
15	0.000e+00	2.290e-159
16	0.000e+00	1.538e-157
17	0.000e+00	9.560e-156
18	0.000e+00	5.513e-154
19	0.000e+00	2.960e-152
20	0.000e+00	1.484e-150
21	0.000e+00	6.964e-149
22	0.000e+00	3.069e-147
23	0.000e+00	1.272e-145
24	0.000e+00	4.977e-144
25	0.000e+00	1.841e-142
26	0.000e+00	6.448e-141
27	0.000e+00	2.145e-139
28	0.000e+00	6.784e-138
29	0.000e+00	2.044e-136
30	0.000e+00	5.880e-135
31	0.000e+00	1.616e-133
32	0.000e+00	4.254e-132
33	0.000e+00	1.073e-130
34	0.000e+00	2.600e-129
35	0.000e+00	6.052e-128
36	0.000e+00	1.356e-126
37	0.000e+00	2.926e-125
38	0.000e+00	6.089e-124
39	0.000e+00	1.224e-122
40	0.000e+00	2.376e-121
41	0.000e+00	4.463e-120
42	0.000e+00	8.114e-119
43	0.000e+00	1.430e-117
44	0.000e+00	2.442e-116
45	0.000e+00	4.048e-115
46	0.000e+00	6.516e-114
47	0.000e+00	1.019e-112
48	0.000e+00	1.550e-111
49	0.000e+00	2.295e-110
50	0.000e+00	3.306e-109
51	0.000e+00	4.641e-108
52	0.000e+00	6.348e-107
53	0.000e+00	8.469e-106
54	0.000e+00	1.102e-104
55	0.000e+00	1.401e-103
56	0.000e+00	1.738e-102
57	0.000e+00	2.107e-101
58	0.000e+00	2.496e-100
59	0.000e+00	2.892e-99
60	0.000e+00	3.278e-98
61	0.000e+00	3.636e-97
62	0.000e+00	3.948e-96
