w	LB_exp	LB_pred
0	0.0	5.017321716076582e-201
1	0.0	6.4227211383717555e-198
2	0.0	4.106329908139319e-195
3	0.0	1.7494247206192207e-192
4	0.0	5.237058433568988e-190
5	0.0	1.1586533999443277e-187
6	0.0	1.9888461857203206e-185
7	0.0	2.7558646652172464e-183
8	0.0	3.183893479499327e-181
9	0.0	3.1381149966884096e-179
10	0.0	2.694063713422508e-177
11	0.0	2.0424070106090943e-175
12	0.0	1.3861724595145887e-173
13	0.0	8.505642106268513e-172
14	0.0	4.758673288194897e-170
15	0.0	2.4445709821030066e-168
16	0.0	1.1611712164989281e-166
17	0.0	5.124901150682238e-165
18	0.0	2.111074734825471e-163
19	0.0	8.153147788624446e-162
20	0.0	2.9618678378663767e-160
21	0.0	1.0160534259883188e-158
22	0.0	3.298339686526622e-157
23	0.0	1.0169689956445372e-155
24	0.0	2.9824681551312894e-154
25	0.0	8.340839568149209e-153
26	0.0	2.2284965432354748e-151
27	0.0	5.699421109959256e-150
28	0.0	1.397617080217318e-148
29	0.0	3.291472914104984e-147
30	0.0	7.455025925757951e-146
31	0.0	1.6258228170297427e-144
32	0.0	3.419652665975554e-143
33	0.0	6.940017994135127e-142
34	0.0	1.361452078796693e-140
35	0.0	2.5841953546763054e-139
36	0.0	4.7472286674921675e-138
37	0.0	8.452996851035957e-137
38	0.0	1.4598758168401664e-135
39	0.0	2.4468599062435523e-134
40	0.0	3.9873058528309336e-133
41	0.0	6.312852779625554e-132
42	0.0	9.727927597320016e-131
43	0.0	1.4587313547698934e-129
44	0.0	2.1309883748482198e-128
45	0.0	3.035113410363845e-127
46	0.0	4.21162041860443e-126
47	0.0	5.706287882380894e-125
48	0.0	7.546582891379786e-124
49	0.0	9.748527914584929e-123
50	0.0	1.2302967255434137e-121
51	0.0	1.5180144900100317e-120
52	0.0	1.8315970972648178e-119
53	0.0	2.1625755279877533e-118
54	0.0	2.499505161476108e-117
55	0.0	2.8268213135741693e-116
56	0.0	3.1335371484073184e-115
57	0.0	3.4036301969917326e-114
58	0.0	3.6210779903435915e-113
59	0.0	3.7790137560412583e-112
60	0.0	3.868281797522547e-111
61	0.0	3.886593190646915e-110
62	0.0	3.829370087133267e-109
63	0.0	3.7057681835437894e-108
64	0.0	3.520365328159573e-107
65	0.0	3.2846061416833464e-106
66	0.0	3.012224168958386e-105
67	0.0	2.7123751065468753e-104
68	0.0	2.4033703475731807e-103
69	0.0	2.0916188796308308e-102
70	0.0	1.7906253551490463e-101
71	0.0	1.5079432237916297e-100
72	0.0	1.2492947959099445e-99
73	0.0	1.0183423501288647e-98
74	0.0	8.171459181748813e-98
75	0.0	6.452477152198852e-97
76	0.0	5.019610640217128e-96
77	0.0	3.843103631976543e-95
78	0.0	2.8977779619310914e-94
79	0.0	2.1538776162536788e-93
80	0.0	1.576839840422061e-92
81	0.0	1.1375952978513054e-91
82	0.0	8.089057912689162e-91
83	0.0	5.66966509613216e-90
84	0.0	3.918638128614557e-89
85	0.0	2.668885547876503e-88
86	0.0	1.7940587413598656e-87
87	0.0	1.1890960910135877e-86
88	0.0	7.775475305434376e-86
89	0.0	5.015032791936037e-85
90	0.0	3.193049176061511e-84
91	0.0	2.0055553319463053e-83
92	0.0	1.2433435931445252e-82
93	0.0	7.608383843174526e-82
94	0.0	4.598448598356684e-81
95	0.0	2.742131120373972e-80
96	0.0	1.6155226583972867e-79
97	0.0	9.398322521081409e-79
98	0.0	5.399572047547746e-78
99	0.0	3.064869424190942e-77
100	0.0	1.7178375674796878e-76
101	0.0	9.515057652249248e-76
102	0.0	5.207302419741891e-75
103	0.0	2.8176656170119857e-74
104	0.0	1.5054254072370293e-73
105	0.0	7.954011388396954e-73
106	0.0	4.152108390950238e-72
107	0.0	2.143806350035277e-71
108	0.0	1.0941057391809335e-70
109	0.0	5.520885026996677e-70
110	0.0	2.7535757410767006e-69
111	0.0	1.3589342622420926e-68
112	0.0	6.631013235161432e-68
113	0.0	3.1999159484831485e-67
114	0.0	1.527627971400324e-66
115	0.0	7.214688891000633e-66
116	0.0	3.3692963348835447e-65
117	0.0	1.557383985227421e-64
118	0.0	7.120843001238252e-64
119	0.0	3.222805189888608e-63
120	0.0	1.4429377782001266e-62
121	0.0	6.39296512454466e-62
122	0.0	2.80393207216871e-61
123	0.0	1.2172498579423022e-60
124	0.0	5.230191661147349e-60
125	0.0	2.224376479782492e-59
126	0.0	9.366277583113766e-59
127	0.0	3.9049045837712816e-58
128	0.0	1.6114025949443038e-57
129	0.0	6.585234752350515e-57
130	0.0	2.664307699595411e-56
131	0.0	1.0677831115646557e-55
132	0.0	4.2367985841504346e-55
133	0.0	1.6651923122471318e-54
134	0.0	6.482233166025949e-54
135	0.0	2.4995051614761073e-53
136	0.0	9.542524741935799e-53
137	0.0	3.609633369640862e-52
138	0.0	1.352983059476673e-51
139	0.0	5.021899564357674e-51
140	0.0	1.8476195662486394e-50
141	0.0	6.734014821485997e-50
142	0.0	2.4308374372597307e-49
143	0.0	8.700200658214912e-49
144	0.0	3.0854697414558545e-48
145	0.0	1.083805580548477e-47
146	0.0	3.7744359077601657e-47
147	0.0	1.3021689435565544e-46
148	0.0	4.454246377502294e-46
149	0.0	1.5097743631040663e-45
150	0.0	5.0722558954496836e-45
151	0.0	1.689683800550973e-44
152	0.0	5.578108130510325e-44
153	0.0	1.825645894499399e-43
154	0.0	5.923735675732753e-43
155	0.0	1.90552934700445e-42
156	0.0	6.077093593149328e-42
157	0.0	1.9215518159882714e-41
158	0.0	6.024448337916772e-41
159	0.0	1.872568839380589e-40
160	0.0	5.772666682456725e-40
161	0.0	1.764302727532769e-39
162	0.0	5.3469267923151905e-39
163	0.0	1.6075114239053758e-38
164	0.0	4.793007150303086e-38
165	0.0	1.4168440429979035e-37
166	0.0	4.154397315090783e-37
167	0.0	1.2080941613801187e-36
168	0.0	3.483742541910839e-36
169	0.0	9.97055355621788e-36
170	0.0	2.829110237714715e-35
171	0.0	7.965456009099683e-35
172	0.0	2.2246053721965467e-34
173	0.0	6.161783786349526e-34
174	0.0	1.6935749715899012e-33
175	0.0	4.616759991481052e-33
176	0.0	1.24906590349589e-32
177	0.0	3.350984941759177e-32
178	0.0	8.92451522398841e-32
179	0.0	2.3575918647622625e-31
180	0.0	6.180095179473892e-31
181	0.0	1.607511423905376e-30
182	0.0	4.147530542669145e-30
183	0.0	1.0622896936273456e-29
184	0.0	2.6986415617035993e-29
185	0.0	6.807260393983466e-29
186	0.0	1.7036462378083033e-28
187	0.0	4.232220735869343e-28
188	0.0	1.0428338384327058e-27
189	0.0	2.549861492568117e-27
190	0.0	6.191539800176621e-27
191	0.0	1.4919207548078084e-26
192	0.0	3.568432735111036e-26
193	0.0	8.469019320019779e-26
194	0.0	1.9947973884857397e-25
195	0.0	4.664827398432516e-25
196	0.0	1.0826611184782041e-24
197	0.0	2.4949273131950157e-24
198	0.0	5.703998958240348e-24
199	0.0	1.2950732787208624e-23
200	0.0	2.9183782791960045e-23
201	0.0	6.530300572977413e-23
202	0.0	1.4502623354498734e-22
203	0.0	3.1976270243426025e-22
204	0.0	6.99953002178932e-22
205	0.0	1.5209900913927413e-21
206	0.0	3.2823172175428006e-21
207	0.0	7.029286035616416e-21
208	0.0	1.4948963561905183e-20
209	0.0	3.156426389812777e-20
210	0.0	6.617279690318157e-20
211	0.0	1.3774745477805142e-19
212	0.0	2.8474216308390823e-19
213	0.0	5.843623330813647e-19
214	0.0	1.19069833791197e-18
215	0.0	2.407948195854272e-18
216	0.0	4.841074557254549e-18
217	0.0	9.656970948963093e-18
218	0.0	1.9135405814963607e-17
219	0.0	3.7652802111979825e-17
220	0.0	7.354313263573932e-17
221	0.0	1.42714420163036e-16
222	0.0	2.748997892795609e-16
223	0.0	5.262236599114992e-16
224	0.0	9.99802064590443e-16
225	0.0	1.887217953880083e-15
226	0.0	3.5363877971433937e-15
227	0.0	6.585234752350514e-15
228	0.0	1.2172498579423022e-14
229	0.0	2.2351344232430578e-14
230	0.0	4.076573894312223e-14
231	0.0	7.384069277401028e-14
232	0.0	1.3282626787587776e-13
233	0.0	2.373614333746084e-13
234	0.0	4.2116204186044303e-13
235	0.0	7.425269911930854e-13
236	0.0	1.3001089118300633e-12
237	0.0	2.2612281584452808e-12
238	0.0	3.907193507911828e-12
239	0.0	6.7042588076589005e-12
240	0.0	1.1426309309605063e-11
241	0.0	1.9348275760034374e-11
242	0.0	3.25485012785625e-11
243	0.0	5.4361948337964796e-11
244	0.0	9.022938962031883e-11
245	0.0	1.4875717989407713e-10
246	0.0	2.435415285540823e-10
247	0.0	3.9644166114254744e-10
248	0.0	6.406698669387935e-10
249	0.0	1.0286425087613211e-09
250	0.0	1.6409297163573458e-09
251	0.0	2.6002178236601267e-09
252	0.0	4.092596363296044e-09
253	0.0	6.402120821106843e-09
254	2.2888246283572508e-08	9.945375390671876e-09
255	0.0	1.5351814210641256e-08
256	0.0	2.3553029406217164e-08
257	2.2888246283572508e-08	3.586744128235403e-08
258	4.5776492567145015e-08	5.429328061374841e-08
259	6.866473885071753e-08	8.164592409327177e-08
260	1.1444123141786254e-07	1.2197676744969025e-07
261	2.0599421655215256e-07	1.8107678875858503e-07
262	3.204354479700151e-07	2.671174472017049e-07
263	3.891001868207326e-07	3.9140602803334655e-07
264	3.891001868207326e-07	5.697132185818711e-07
265	7.782003736414652e-07	8.24012690596519e-07
266	9.841945901936179e-07	1.184518242732496e-06
267	1.6021772398500755e-06	1.6912860474493553e-06
268	2.0599421655215257e-06	2.3987924992920885e-06
