w	LBB_exp	LBB_pred
0	0.0	5.2597531919321115e-201
1	0.0	6.725861403734356e-198
2	0.0	4.297544692860589e-195
3	0.0	1.829635861700837e-192
4	0.0	5.494906391206449e-190
5	0.0	1.2235164929590254e-187
6	0.0	2.1185383636664514e-185
7	0.0	2.965809737786537e-183
8	0.0	3.4649104056341096e-181
9	0.0	3.457711838309385e-179
10	0.0	3.004202096851735e-177
11	0.0	2.306660923085921e-175
12	0.0	1.5858443816368307e-173
13	0.0	9.857238189989559e-172
14	0.0	5.588487766427869e-170
15	0.0	2.9106207216303155e-168
16	0.0	1.4006012491472508e-166
17	0.0	6.265153094951981e-165
18	0.0	2.615479461316607e-163
19	0.0	1.0238762258199964e-161
20	0.0	3.772049278155693e-160
21	0.0	1.311099062076508e-158
22	0.0	4.3143413499516134e-157
23	0.0	1.3482916599209184e-155
24	0.0	4.009601999871605e-154
25	0.0	1.1364138283298575e-152
26	0.0	3.0785872925405566e-151
27	0.0	7.980811640678013e-150
28	0.0	1.983925154694101e-148
29	0.0	4.73665729966879e-147
30	0.0	1.0874635705217303e-145
31	0.0	2.4043214864580178e-144
32	0.0	5.125379935203919e-143
33	0.0	1.0545901130721546e-141
34	0.0	2.097182613936435e-140
35	0.0	4.0335972242873545e-139
36	0.0	7.515304287012488e-138
37	0.0	1.356450036222273e-136
38	0.0	2.3750473126708048e-135
39	0.0	4.035996746728929e-134
40	0.0	6.665873342694984e-133
41	0.0	1.0699470566982338e-131
42	0.0	1.6710274283127384e-130
43	0.0	2.541094265627786e-129
44	0.0	3.762451188389394e-128
45	0.0	5.427719762842352e-127
46	0.0	7.640079453974381e-126
47	0.0	1.04931116370069e-124
48	0.0	1.406600055251188e-123
49	0.0	1.8416334739087115e-122
50	0.0	2.3560910853823633e-121
51	0.0	2.946613558253938e-120
52	0.0	3.604082707245452e-119
53	0.0	4.311941827510039e-118
54	0.0	5.050994739515099e-117
55	0.0	5.792447173961733e-116
56	0.0	6.507504861551043e-115
57	0.0	7.162574488100983e-114
58	0.0	7.726462261871076e-113
59	0.0	8.175172958445577e-112
60	0.0	8.479912308525584e-111
61	0.0	8.633481744786377e-110
62	0.0	8.623883655020076e-109
63	0.0	8.455917084109836e-108
64	0.0	8.141579644263529e-107
65	0.0	7.700067515013752e-106
66	0.0	7.155375920776257e-105
67	0.0	6.533899608408367e-104
68	0.0	5.864432847208979e-103
69	0.0	5.173370384035416e-102
70	0.0	4.489506488186579e-101
71	0.0	3.8320373391950644e-100
72	0.0	3.2177595941518983e-99
73	0.0	2.6586708652649538e-98
74	0.0	2.1610099108823265e-97
75	0.0	1.7298157281313227e-96
76	0.0	1.3631686990586826e-95
77	0.0	1.0579494444903596e-94
78	0.0	8.086390628107306e-94
79	0.0	6.089987956717016e-93
80	0.0	4.5183007574854775e-92
81	0.0	3.301742879607019e-91
82	0.0	2.3798463575539543e-90
83	0.0	1.6902236078453373e-89
84	0.0	1.1836844204288825e-88
85	0.0	8.172773436004001e-88
86	0.0	5.56449254201212e-87
87	0.0	3.738455963973645e-86
88	0.0	2.4763071597052638e-85
89	0.0	1.6187178390864063e-84
90	0.0	1.0440322143292253e-83
91	0.0	6.646677163162385e-83
92	0.0	4.175169048340271e-82
93	0.0	2.589084714459283e-81
94	0.0	1.5848845726602005e-80
95	0.0	9.578893586766876e-80
96	0.0	5.718061978272911e-79
97	0.0	3.3689295079711154e-78
98	0.0	1.9613696437432973e-77
99	0.0	1.1277755475401883e-76
100	0.0	6.406724919004899e-76
101	0.0	3.594484617479153e-75
102	0.0	1.9935232444604003e-74
103	0.0	1.0922626154048801e-73
104	0.0	5.91482281848205e-73
105	0.0	3.164970100437251e-72
106	0.0	1.6746267119751005e-71
107	0.0	8.75825691174827e-71
108	0.0	4.527898847251776e-70
109	0.0	2.3143393948989606e-69
110	0.0	1.1697671902677484e-68
111	0.0	5.845236667676379e-68
112	0.0	2.8890250196561413e-67
113	0.0	1.412598861355125e-66
114	0.0	6.831440391163651e-66
115	0.0	3.268149565424971e-65
116	0.0	1.5460123091066878e-64
117	0.0	7.236959683789803e-64
