w	Stern_exp	Stern_pred
0	0.0	3.082024443668586e-200
1	0.0	3.8764331164207527e-197
2	0.0	2.4366552741230194e-194
3	0.0	1.0200769771357476e-191
4	0.0	3.1748226249104315e-189
5	0.0	7.762708464185338e-187
6	0.0	1.5438242879325305e-184
7	0.0	2.5533560171998864e-182
8	0.0	3.5755420439093126e-180
9	0.0	4.2982430311564165e-178
10	0.0	4.489463525836584e-176
11	0.0	4.122488900016557e-174
12	0.0	3.361825020443243e-172
13	0.0	2.456339736810684e-170
14	0.0	1.622562138683188e-168
15	0.0	9.752245228688555e-167
16	0.0	5.371046247634122e-165
17	0.0	2.726298082241509e-163
18	0.0	1.2815991242718594e-161
19	0.0	5.607259799886095e-160
20	0.0	2.2918338700637748e-158
21	0.0	8.791924656140359e-157
22	0.0	3.1734165918613127e-155
23	0.0	1.0809582081625951e-153
24	0.0	3.4855559287657042e-152
25	0.0	1.0668978776714065e-150
26	0.0	3.1059270055036066e-149
27	0.0	8.618982591098737e-148
28	0.0	2.2848037048181806e-146
29	0.0	5.792856162369786e-145
30	0.0	1.4074390821679993e-143
31	0.0	3.283087169692585e-142
32	0.0	7.361989045186456e-141
33	0.0	1.5888173455043348e-139
34	0.0	3.304177665429369e-138
35	0.0	6.62944582659552e-137
36	0.0	1.2849736035897446e-135
37	0.0	2.4085346131406417e-134
38	0.0	4.367138650563243e-133
39	0.0	7.672722349041729e-132
40	0.0	1.3069077191559993e-130
41	0.0	2.1596667634466005e-129
42	0.0	3.467277499127159e-128
43	0.0	5.406197073862095e-127
44	0.0	8.199984742461309e-126
45	0.0	1.2101726453766202e-124
46	0.0	1.7392628817600548e-123
47	0.0	2.433843208024782e-122
48	0.0	3.322456095067914e-121
49	0.0	4.421973939478879e-120
50	0.0	5.743645005650627e-119
51	0.0	7.284657227484918e-118
52	0.0	9.023920109244974e-117
53	0.0	1.09248767916537e-115
54	0.0	1.2929879919697223e-114
55	0.0	1.4974251973116076e-113
56	0.0	1.6956758572373695e-112
57	0.0	1.879866186671943e-111
58	0.0	2.0401539542714952e-110
59	0.0	2.1709150278395513e-109
60	0.0	2.2609011429831597e-108
61	0.0	2.3101122997023202e-107
62	0.0	2.314330398849677e-106
63	0.0	2.2735554404252293e-105
64	0.0	2.1905994905272155e-104
65	0.0	2.0724927144012297e-103
66	0.0	1.924859244243747e-102
67	0.0	1.7547292453003624e-101
68	0.0	1.571944948914908e-100
69	0.0	1.3832553137231544e-99
70	0.0	1.1961123148854314e-98
71	0.0	1.0165618945129504e-97
72	0.0	8.495251682776275e-97
73	0.0	6.98095408887524e-96
74	0.0	5.642410626114066e-95
75	0.0	4.486651459738347e-94
76	0.0	3.509458490600725e-93
77	0.0	2.7023955204064883e-92
78	0.0	2.0485901525662085e-91
79	0.0	1.5283579243922229e-90
80	0.0	1.123701612855809e-89
81	0.0	8.133901189152723e-89
82	0.0	5.799886327615381e-88
83	0.0	4.0746837763465155e-87
84	0.0	2.820502296532474e-86
85	0.0	1.9248592442437473e-85
86	0.0	1.2941128184090176e-84
87	0.0	8.579613665723407e-84
88	0.0	5.6086658329352134e-83
89	0.0	3.61631700233376e-82
90	0.0	2.2988640353093692e-81
91	0.0	1.4425899083959711e-80
92	0.0	8.924091762757533e-80
93	0.0	5.448378065335661e-79
94	0.0	3.283087169692585e-78
95	0.0	1.9515738721770056e-77
96	0.0	1.1456357284220636e-76
97	0.0	6.637882024890235e-76
