w	SternBabai_exp	SternBabai_pred
0	0.0	3.200231134214304e-200
1	0.0	4.028028147489627e-197
2	0.0	2.53448962089235e-194
3	0.0	1.0618285145593354e-191
4	0.0	3.3068081747241784e-189
5	0.0	8.099855078750438e-187
6	0.0	1.6132552022385063e-184
7	0.0	2.6775656478782084e-182
8	0.0	3.760855566485423e-180
9	0.0	4.539013958153408e-178
10	0.0	4.763847714845471e-176
11	0.0	4.397397890626589e-174
12	0.0	3.60609986382725e-172
13	0.0	2.6512863776155e-170
14	0.0	1.7621710670605223e-168
15	0.0	1.0663543888823575e-166
16	0.0	5.912835809109458e-165
17	0.0	3.0221160802115004e-163
18	0.0	1.4313442536422006e-161
19	0.0	6.308484822509127e-160
20	0.0	2.5987278370900825e-158
21	0.0	1.0040141199813762e-156
22	0.0	3.65135860705747e-155
23	0.0	1.253667187477109e-153
24	0.0	4.074746850178888e-152
25	0.0	1.2568790982869955e-150
26	0.0	3.687857593533454e-149
27	0.0	1.0316073537572204e-147
28	0.0	2.7564034586663346e-146
29	0.0	7.04430438986497e-145
30	0.0	1.7256720805845378e-143
31	0.0	4.0586872961294545e-142
32	0.0	9.174385240603414e-141
33	0.0	1.9957645805068217e-139
34	0.0	4.1857037690658804e-138
35	0.0	8.467764862428359e-137
36	0.0	1.6555940265506483e-135
37	0.0	3.1272331612623354e-134
38	0.0	5.718661201057221e-133
39	0.0	1.0130658686274204e-131
40	0.0	1.7402716751749319e-130
41	0.0	2.900939445111233e-129
42	0.0	4.693769660811582e-128
43	0.0	7.383014984362106e-127
44	0.0	1.1291326456210506e-125
45	0.0	1.6804133373543175e-124
46	0.0	2.435212377677673e-123
47	0.0	3.4382045260377213e-122
48	0.0	4.733188566205644e-121
49	0.0	6.353743565739348e-120
50	0.0	8.324688835442501e-119
51	0.0	1.064894429423318e-117
52	0.0	1.330607050968484e-116
53	0.0	1.6249348779108213e-115
54	0.0	1.940286121063326e-114
55	0.0	2.2643971209700662e-113
56	0.0	2.5870481614177677e-112
57	0.0	2.893639647816036e-111
58	0.0	3.169571985574477e-110
59	0.0	3.400245580102698e-109
60	0.0	3.573980755728384e-108
61	0.0	3.683477715156336e-107
62	0.0	3.7214366610913604e-106
63	0.0	3.689317552992494e-105
64	0.0	3.5871203908597374e-104
65	0.0	3.4236049314473276e-103
66	0.0	3.207530931509501e-102
67	0.0	2.9505780667185716e-101
68	0.0	2.6658859722058936e-100
69	0.0	2.368054242561862e-99
70	0.0	2.0658426345407117e-98
71	0.0	1.7709308238147584e-97
72	0.0	1.4935385265972777e-96
73	0.0	1.2383376131571955e-95
74	0.0	1.0098539578175337e-94
75	0.0	8.102774997668516e-94
76	0.0	6.3975423495105285e-93
77	0.0	4.971161958029063e-92
78	0.0	3.801734431338525e-91
79	0.0	2.862980499176209e-90
80	0.0	2.1242410129022868e-89
81	0.0	1.5504769454998133e-88
82	0.0	1.1161390064356e-87
83	0.0	7.912980267993397e-87
84	0.0	5.528866471382102e-86
85	0.0	3.806114309715644e-85
86	0.0	2.584128242499689e-84
87	0.0	1.7285919995026168e-83
88	0.0	1.1408123212933655e-82
89	0.0	7.422433889756169e-82
90	0.0	4.763847714845472e-81
91	0.0	3.016276242375343e-80
92	0.0	1.8833477021607905e-79
93	0.0	1.160813765882205e-78
