w	Wagner_exp	Wagner_pred
0	0.0	2.772088349781428e-205
1	0.0	3.4423469380041266e-202
2	0.0	2.1359750103927154e-199
3	0.0	8.829708420699784e-197
4	0.0	2.7316199067189254e-194
5	0.0	6.739260408752386e-192
6	0.0	1.3784563418164949e-189
7	0.0	2.397755251453279e-187
8	0.0	3.619396376402576e-185
9	0.0	4.805627613672183e-183
10	0.0	5.67190522297888e-181
11	0.0	6.007034517090229e-179
12	0.0	5.747783553721073e-177
13	0.0	4.997852718219071e-175
14	0.0	3.9709659755080675e-173
15	0.0	2.896022956660342e-171
16	0.0	1.945014544691531e-169
17	0.0	1.2089947364922652e-167
18	0.0	6.971953956361776e-166
19	0.0	3.74333098328149e-164
20	0.0	1.876724047023558e-162
21	0.0	8.806944921477128e-161
22	0.0	3.88117661746314e-159
23	0.0	1.6086206117344783e-157
24	0.0	6.294107535064857e-156
25	0.0	2.3282001149396026e-154
26	0.0	8.154391277094273e-153
27	0.0	2.7126503240333773e-151
28	0.0	8.57930992925055e-150
29	0.0	2.5849218006173533e-148
30	0.0	7.436076412734851e-147
31	0.0	2.043656374656381e-145
32	0.0	5.37977364962144e-144
33	0.0	1.35695748143954e-142
34	0.0	3.288060998828336e-141
35	0.0	7.653594294195805e-140
36	0.0	1.7148502747735475e-138
37	0.0	3.7003332625275813e-137
38	0.0	7.700385931486823e-136
39	0.0	1.5479179471407244e-134
40	0.0	3.0047818973908183e-133
41	0.0	5.644083168373409e-132
42	0.0	1.0261279594035816e-130
43	0.0	1.8084335493555847e-129
44	0.0	3.08824806120723e-128
45	0.0	5.119258047406579e-127
46	0.0	8.24038671860209e-126
47	0.0	1.2886669837715672e-124
48	0.0	1.9601902108399695e-123
49	0.0	2.902346150888858e-122
50	0.0	4.1808960238947995e-121
51	0.0	5.86918888290858e-120
52	0.0	8.027927392523953e-119
53	0.0	1.0710226384260454e-117
54	0.0	1.3936320079649333e-116
55	0.0	1.7717590228301916e-115
56	0.0	2.1979423138321726e-114
57	0.0	2.6645940478966553e-113
58	0.0	3.156538558875203e-112
59	0.0	3.657335541773672e-111
60	0.0	4.14548613621511e-110
61	0.0	4.598226842976858e-109
62	0.0	4.9927941628362584e-108
63	0.0	5.308953874262059e-107
64	0.0	5.530265672260121e-106
65	0.0	5.6453478072191125e-105
66	0.0	5.650406362601925e-104
67	0.0	5.544176699562856e-103
68	0.0	5.33677592886753e-102
69	0.0	5.0395858001272764e-101
70	0.0	4.67031125718194e-100
71	0.0	4.250451160408476e-99
72	0.0	3.7964458148010245e-98
73	0.0	3.332323358427948e-97
74	0.0	2.8732594574376844e-96
75	0.0	2.4344297779786715e-95
76	0.0	2.0272160696622395e-94
77	0.0	1.6592061655626064e-93
78	0.0	1.3354586210625855e-92
79	0.0	1.0576174666615912e-91
80	0.0	8.237857440910685e-91
81	0.0	6.314341756596109e-90
82	0.0	4.7626298929182744e-89
83	0.0	3.535930212586165e-88
84	0.0	2.5849218006173536e-87
85	0.0	1.8602837420294164e-86
86	0.0	1.319018316068444e-85
87	0.0	9.206570796719341e-85
88	0.0	6.333311339281657e-84
89	0.0	4.292184242316682e-83
90	0.0	2.866936263209169e-82
91	0.0	1.8881057966348868e-81
92	0.0	1.2253085776018367e-80
93	0.0	7.840760843359878e-80
94	0.0	4.9472671643909423e-79
95	0.0	3.079395589287307e-78
96	0.0	1.88937043548059e-77
97	0.0	1.144245227592261e-76
98	0.0	6.836637599871533e-76
99	0.0	4.030404001256118e-75
100	0.0	2.3446404199337444e-74
101	0.0	1.3455757318282113e-73
102	0.0	7.62830151728174e-73
103	0.0	4.2681561042483206e-72
104	0.0	2.357286808390776e-71
105	0.0	1.2861377060801606e-70
106	0.0	6.927691596762164e-70
107	0.0	3.685157596379143e-69
108	0.0	1.9361620727716084e-68
109	0.0	1.0052614184494786e-67
110	0.0	5.154667935086269e-67
111	0.0	2.612743855222824e-66
112	0.0	1.3076365664571152e-65
113	0.0	6.4711569734633045e-65
114	0.0	3.164126391949422e-64
115	0.0	1.5289483644551762e-63
116	0.0	7.307083250473124e-63
117	0.0	3.4511994099240496e-62
118	0.0	1.6111498894258847e-61
119	0.0	7.439870329271962e-61
120	0.0	3.395555300713109e-60
121	0.0	1.5327422809922858e-59
122	0.0	6.845490071791455e-59
123	0.0	3.0224868412306627e-58
124	0.0	1.3202829549141472e-57
125	0.0	5.704785832967163e-57
126	0.0	2.4382236945157816e-56
127	0.0	1.031060050901824e-55
128	0.0	4.313683102693636e-55
129	0.0	1.7856700501329273e-54
130	0.0	7.315935722393049e-54
131	0.0	2.9655780931740183e-53
132	0.0	1.1898986899221466e-52
133	0.0	4.724690727547178e-52
134	0.0	1.8564898254923066e-51
135	0.0	7.224881725502417e-51
136	0.0	2.7822054605470538e-50
137	0.0	1.0609055276604197e-49
138	0.0	4.005111224342054e-49
139	0.0	1.496067754466893e-48
140	0.0	5.53785350533434e-48
141	0.0	2.029745347353646e-47
142	0.0	7.36399199852977e-47
143	0.0	2.6456244652111073e-46
144	0.0	9.416500845106073e-46
145	0.0	3.3184123311252126e-45
146	0.0	1.1586621104332775e-44
147	0.0	4.0063758631877576e-44
148	0.0	1.3721331475879788e-43
149	0.0	4.6564002298792055e-43
150	0.0	1.5656228909805694e-42
151	0.0	5.212841321988616e-42
152	0.0	1.7199088301563602e-41
153	0.0	5.621319669150751e-41
154	0.0	1.821079937812617e-40
155	0.0	5.843896105994516e-40
156	0.0	1.859019103183713e-39
157	0.0	5.8578071332972506e-39
158	0.0	1.8299324097325396e-38
159	0.0	5.664317389904661e-38
160	0.0	1.7376137739962054e-37
161	0.0	5.283661097347996e-37
162	0.0	1.5921803067403365e-36
163	0.0	4.7563066986897584e-36
164	0.0	1.4088076741133718e-35
165	0.0	4.134104386603781e-35
166	0.0	1.2031773978020304e-34
167	0.0	3.470168992609597e-34
168	0.0	9.926150299924464e-34
169	0.0	2.8150860705353372e-33
170	0.0	7.912845257564962e-33
171	0.0	2.2055301469063918e-32
172	0.0	6.095559236289454e-32
173	0.0	1.6705879151739354e-31
174	0.0	4.538788817228807e-31
175	0.0	1.223158691564141e-30
176	0.0	3.269091416142788e-30
177	0.0	8.662776093066961e-30
178	0.0	2.276349922265771e-29
179	0.0	5.933685464039444e-29
180	0.0	1.534006919837989e-28
181	0.0	3.9330268101369715e-28
182	0.0	1.0000763991820954e-27
183	0.0	2.522954497177896e-27
184	0.0	6.311812478904702e-27
185	0.0	1.5668875298262724e-26
186	0.0	3.8558838405490755e-26
187	0.0	9.416500845106074e-26
188	0.0	2.2814084776485837e-25
189	0.0	5.482209396123399e-25
190	0.0	1.3063719276114119e-24
191	0.0	3.0920419777443393e-24
192	0.0	7.25396841895359e-24
193	0.0	1.6895574978594833e-23
194	0.0	3.901410838994391e-23
195	0.0	8.94226127796737e-23
196	0.0	2.0335392638907556e-22
197	0.0	4.588109732211232e-22
198	0.0	1.0273925982492847e-21
199	0.0	2.282673116494287e-21
200	0.0	5.031997967053057e-21
201	0.0	1.1007416513000706e-20
202	0.0	2.3901674183790597e-20
203	0.0	5.148344740857752e-20
204	0.0	1.1006151874155005e-19
205	0.0	2.3357879480138217e-19
206	0.0	4.916915832094066e-19
207	0.0	1.0276455260184253e-18
208	0.0	2.1309164550099025e-18
209	0.0	4.387032155744422e-18
210	0.0	8.963760138344325e-18
211	0.0	1.8172860212755072e-17
212	0.0	3.658600180619375e-17
213	0.0	7.308347889318829e-17
214	0.0	1.4492761171758742e-16
215	0.0	2.85176059706073e-16
216	0.0	5.571998754168326e-16
217	0.0	1.0806338936533896e-15
218	0.0	2.0803309011817742e-15
219	0.0	3.9760245308908806e-15
220	0.0	7.54230607577392e-15
221	0.0	1.4201894237247005e-14
222	0.0	2.655741575976733e-14
223	0.0	4.928297581705394e-14
224	0.0	9.078842273303318e-14
225	0.0	1.6604708044083098e-13
226	0.0	3.0161636470021465e-13
227	0.0	5.436682397678084e-13
228	0.0	9.73139591768617e-13
229	0.0	1.7287613020762829e-12
230	0.0	3.051573534681836e-12
231	0.0	5.3443637619417494e-12
232	0.0	9.296360154764268e-12
233	0.0	1.6048266951973687e-11
234	0.0	2.75311876709588e-11
235	0.0	4.685486923330378e-11
236	0.0	7.921697729484883e-11
237	0.0	1.3291354268340695e-10
238	0.0	2.215647257672017e-10
239	0.0	3.6674526525392977e-10
240	0.0	6.026004099775778e-10
241	0.0	9.833831664188132e-10
242	0.0	1.5934449455860397e-09
243	0.0	2.563422940240399e-09
244	0.0	4.0961652212326845e-09
245	0.0	6.498979028068777e-09
246	0.0	1.023978073365886e-08
247	0.0	1.6022974175059623e-08
248	0.0	2.490073887189613e-08
249	0.0	3.84197281324634e-08
250	0.0	5.8868938267484246e-08
251	0.0	8.95743694411581e-08
252	0.0	1.354428203748134e-07
253	7.148458470673092e-07	2.0322746250450524e-07
254	0.0	3.028810035459179e-07
255	0.0	4.483144708017866e-07
256	7.148458470673092e-07	6.591297663805111e-07
257	0.0	9.6239016158014e-07
258	0.0	1.3961612856563397e-06
259	1.4296916941346183e-06	2.0095111258223945e-06
260	2.1445375412019277e-06	2.8745240962833875e-06
261	8.57815016480771e-06	4.0847834716213555e-06
262	2.1445375412019277e-06	5.762959219869511e-06
263	6.433612623605782e-06	8.075983668660674e-06
264	7.863304317740401e-06	1.1240110060610096e-05
265	2.0730529564951965e-05	1.5542411413692405e-05
266	1.644145448254811e-05	2.1334457327013088e-05
267	2.3589912953221204e-05	2.9099339839630775e-05
268	4.217590497697124e-05	3.94061464321119e-05
269	4.789467175350972e-05	5.302630680033543e-05
270	6.433612623605782e-05	7.085771452475064e-05
271	8.435180995394248e-05	9.403854456649041e-05
272	0.00011509018137783678	0.00012398519243274233
273	0.0001565512405077407	0.00016237962778829166
274	0.00018514507439043308	0.00021119468723243543
275	0.0002494812006264909	0.0002727825990181816
276	0.0003595674610748565	0.0003500520324906475
277	0.00042390358731091436	0.00044616458476409113
278	0.0005239820059003376	0.0005649141723756222
279	0.0007169903846085111	0.0007104741035160612
280	0.000827791490903944	0.0008875235419145101
281	0.0011201634423544736	0.001101247506838352
282	0.0013196054336862527	0.0013569574814395401
283	0.0017263527206675517	0.0016617354432540128
284	0.0019901308382353888	0.0020208928754337236
285	0.0023482686076161108	0.002442017611052891
286	0.0028851178387636596	0.0029301682054943285
287	0.0033769317815459687	0.0034929324918322553
288	0.004033160269153758	0.004135369025449484
289	0.004902412819187606	0.004863801000574531
290	0.0056222625871843864	0.005683286972590208
291	0.006481507295359293	0.0065950915803422204
292	0.007462990643382707	0.0076042733792133785
293	0.008542407872454345	0.008708303091512277
294	0.009914911898823578	0.009907180717238917
295	0.011130149838838003	0.011195847701010484
296	0.012488356948265892	0.012569245487444166
297	0.013789376389928394	0.014012198410391525
298	0.01530484958571109	0.015529765025235372
299	0.01704192499408465	0.017085270805450314
300	0.018593140482220712	0.018678715751036357
301	0.020308770515182255	0.020284807085079428
302	0.021809946794023604	0.021878252030665468
303	0.023332568448276973	0.023446404199337443
304	0.024883783936413034	0.02495132442572426
305	0.026134764168780824	0.026393012709825914
306	0.027807503450918328	0.027720883497814278
307	0.028479458547161596	0.028934936789689357
308	0.029844814115060157	0.029984587031623017
309	0.030852746759425065	0.030882480612072296
310	0.03148895956331497	0.03159067836566609
311	0.032067984699439486	0.03209653390394737
312	0.032518337583091896	0.03240004722691614
313	0.03258267370932795	0.032501218334572396
314	0.03249689220767987	0.032374754450002076
315	0.032218102327323625	0.032033301961662215
316	0.0317463040682592	0.031489507258009836
317	0.030988567470367854	0.030756016727501972
318	0.02990200178282554	0.029832830370138633
319	0.02882973301222458	0.02875788735129091
320	0.027521565112091403	0.027531187670958798
321	0.026227694128899574	0.026178024106056366
322	0.02489808085335438	0.024736335821954714
323	0.023296826155923607	0.02320612281865383
324	0.02165982916613947	0.021637970649981856
325	0.0201372075118861	0.020031879315938785
326	0.01845017131280725	0.018438434370352745
327	0.016984737326319266	0.016844989424766706
328	0.015547897173713975	0.015289483644551762
329	0.013853712516164452	0.013784563418164947
330	0.012416872363559161	0.01235425688367462
331	0.011151595214250022	0.01099350548569797
332	0.009750497353998097	0.00971874952922914
333	0.008528110955512999	0.008533782930805235
334	0.007577365978913477	0.007443664245809072
335	0.006379284339228667	0.0064496581130863515
336	0.005701610476208858	0.005551764532637075
337	0.004749435807915202	0.004746189587924133
338	0.0040753361741307295	0.004031668640101821
339	0.0034233967616053435	0.0034018784949416247
340	0.0029222898228111597	0.0028504959582150266
341	0.0024319055717229856	0.002372462474539215
342	0.0019987089884001964	0.001962719488531376
343	0.0016412860648665419	0.0016124145282715879
344	0.001331757813086397	0.0013152243995313345
345	0.001063690620436156	0.001065837619158662
346	0.0008999909214577423	0.0008580574568096254
347	0.000698404392584761	0.0006861930376785597
348	0.0005611539899478377	0.0005450593424980818
349	0.0004267629706991836	0.0004301036714236604
350	0.00034527054413351034	0.00033702625237990445
351	0.00027021173019144287	0.0002624125604834153
352	0.00019586776209644272	0.00020284807085079427
353	0.00016798877406081766	0.000155803505790635
354	0.00013010194416625026	0.00011886340510764435
355	7.648850563620209e-05	9.006757859098234e-05
356	7.219943055379823e-05	6.778464212969185e-05
357	4.503528836524048e-05	5.067407854732747e-05
358	3.0738371423894295e-05	3.762300565967039e-05
359	2.9308679729759676e-05	2.7746176274728343e-05
360	1.715630032961542e-05	2.0322746250450523e-05
361	1.3582071094278874e-05	1.478362810627048e-05
362	1.2152379400144256e-05	1.0683668968500685e-05
363	1.1437533553076946e-05	7.667505321498539e-06
364	4.289075082403855e-06	5.465769091129257e-06
365	7.863304317740401e-06	3.869794867851811e-06
366	2.1445375412019277e-06	2.7202381571075965e-06
367	2.1445375412019277e-06	1.8994875462462157e-06
368	2.1445375412019277e-06	1.3177536772227408e-06
