w	WagnerBabai_exp	WagnerBabai_pred
0	0.0	2.3909072285467392e-204
1	0.0	2.9624562193124743e-201
2	0.0	1.8335378883152685e-198
3	0.0	7.559935219460516e-196
4	0.0	2.3341886264096817e-193
5	0.0	5.742758466377091e-191
6	0.0	1.1714572825999992e-188
7	0.0	2.0342344804925495e-186
8	0.0	3.0638952577499043e-184
9	0.0	4.0597430221947823e-182
10	0.0	4.782905199442268e-180
11	0.0	5.05668152898845e-178
12	0.0	4.8308978627890096e-176
13	0.0	4.19499507344469e-174
14	0.0	3.32894564850577e-172
15	0.0	2.424720241359216e-170
16	0.0	1.628478326742829e-168
17	0.0	1.0110090830930534e-166
18	0.0	5.827836369582677e-165
19	0.0	3.128249056328489e-163
20	0.0	1.5673967552106132e-161
21	0.0	7.357057142585655e-160
22	0.0	3.2416862606026047e-158
23	0.0	1.3448853160575407e-156
24	0.0	5.26174109056089e-155
25	0.0	1.9469750925893838e-153
26	0.0	6.824774876376344e-152
27	0.0	2.2709255701798863e-150
28	0.0	7.1890828208720606e-149
29	0.0	2.1683957893936668e-147
30	0.0	6.2412277197739245e-146
31	0.0	1.717919199343574e-144
32	0.0	4.52439926277914e-143
33	0.0	1.1430979815314703e-141
34	0.0	2.77048556592551e-140
35	0.0	6.45719470483426e-139
36	0.0	1.44850583919255e-137
37	0.0	3.1293397986772783e-136
38	0.0	6.521548503412844e-135
39	0.0	1.3121630455938537e-133
40	0.0	2.5512463538188065e-132
41	0.0	4.798175592325323e-131
42	0.0	8.735755471455672e-130
43	0.0	1.5412189388396637e-128
44	0.0	2.636324257024393e-127
45	0.0	4.376058303343759e-126
46	0.0	7.054921511970943e-125
47	0.0	1.1049219993238351e-123
48	0.0	1.6841061865310973e-122
49	0.0	2.495618494030538e-121
50	0.0	3.6016312357031633e-120
51	0.0	5.062135240732398e-119
52	0.0	6.93603059595288e-118
53	0.0	9.268037737664983e-117
54	0.0	1.2085425224588445e-115
55	0.0	1.5379467117932947e-114
56	0.0	1.9109805950793282e-113
57	0.0	2.320008975875417e-112
58	0.0	2.7530336883448765e-111
59	0.0	3.1958750819534425e-110
60	0.0	3.6278090520741126e-109
61	0.0	4.030292978777464e-108
62	0.0	4.3836934997852847e-107
63	0.0	4.669467995168152e-106
64	0.0	4.872346072043013e-105
65	0.0	4.98142030692197e-104
66	0.0	4.993418472758655e-103
67	0.0	4.908340569553068e-102
68	0.0	4.732731051397948e-101
69	0.0	4.477497341781188e-100
70	0.0	4.156819091237054e-99
71	0.0	3.7892389196949694e-98
72	0.0	3.391117962386776e-97
73	0.0	2.980998839241897e-96
74	0.0	2.574151943143387e-95
75	0.0	2.1847569246255104e-94
76	0.0	1.8226304648273729e-93
77	0.0	1.494317017841712e-92
78	0.0	1.2052702954124758e-91
79	0.0	9.562538171838167e-91
80	0.0	7.461768408069454e-90
81	0.0	5.728578815842827e-89
82	0.0	4.3291563823458064e-88
83	0.0	3.219871413626813e-87
84	0.0	2.358184958083052e-86
85	0.0	1.700467321762941e-85
86	0.0	1.207451780110055e-84
